Instability, Abstractness
0.933333, 0.500000 
0.888889, 0.400000 
0.888889, 0.400000 
0.888889, 0.333333 
0.863636, 0.285714 
0.862069, 0.250000 
0.862069, 0.250000 
0.862069, 0.250000 
0.888889, 0.200000 
0.888889, 0.200000 
0.888889, 0.200000 
0.888889, 0.200000 
0.888889, 0.200000 
0.888889, 0.200000 
0.888889, 0.200000 
0.891892, 0.181818 
0.891892, 0.181818 
0.891892, 0.181818 
0.891892, 0.181818 
0.891892, 0.181818 
0.891892, 0.153846 
0.891892, 0.153846 
0.891892, 0.153846 
0.897436, 0.142857 
0.897436, 0.142857 
0.897436, 0.142857 
0.897436, 0.142857 
0.897436, 0.142857 
0.897436, 0.142857 
0.897436, 0.142857 
0.897436, 0.142857 
0.897436, 0.142857 
0.897436, 0.142857 
0.904762, 0.125000 
0.904762, 0.125000 
0.904762, 0.125000 
0.904762, 0.125000 
0.904762, 0.125000 
0.913043, 0.117647 
0.913043, 0.117647 
0.913043, 0.117647 
0.931034, 0.105263 
0.931034, 0.105263 
0.931034, 0.105263 
0.945205, 0.095238 
0.945205, 0.095238 
0.945205, 0.095238 
0.948052, 0.090909 
0.948052, 0.090909 
0.948052, 0.090909 
0.955056, 0.083333 
0.955056, 0.083333 
0.955056, 0.083333 
0.957447, 0.080000 
0.957447, 0.080000 
0.957447, 0.080000 
0.957447, 0.080000 
0.957447, 0.080000 
0.957447, 0.080000 
0.957447, 0.080000 
0.957447, 0.080000 
0.957447, 0.080000 
0.982456, 0.055556 
0.942203, 0.056075 
0.942203, 0.056075 
0.943098, 0.054054 
0.942366, 0.065574 
0.943413, 0.060606 
0.943820, 0.060150 
0.944677, 0.059259 
0.945063, 0.053333 
0.947368, 0.046784 
0.945000, 0.050000 
0.945000, 0.050000 
0.945240, 0.049451 
0.937079, 0.054187 
0.936848, 0.051887 
0.935414, 0.077626 
0.935416, 0.076577 
0.936226, 0.075221 
0.936891, 0.074561 
0.937780, 0.072650 
0.938290, 0.071730 
0.938373, 0.071429 
0.937352, 0.070248 
0.935181, 0.068548 
0.934174, 0.071429 
0.932439, 0.073930 
0.930339, 0.072243 
0.930663, 0.078947 
0.930193, 0.078176 
0.930272, 0.076923 
0.931104, 0.077160 
0.929459, 0.075758 
0.929487, 0.075758 
0.929544, 0.075758 
0.929873, 0.075529 
0.928153, 0.082596 
0.928324, 0.082111 
0.928025, 0.081633 
0.927866, 0.081159 
0.927498, 0.080460 
0.927488, 0.079772 
0.927698, 0.082645 
0.927758, 0.082192 
0.927311, 0.084239 
0.925149, 0.089947 
0.923130, 0.090439 
0.923368, 0.089059 
0.921812, 0.089330 
0.922394, 0.093596 
0.924039, 0.091346 
0.924287, 0.086560 
0.921580, 0.089286 
0.920162, 0.088745 
0.921164, 0.087607 
0.920337, 0.092632 
0.922442, 0.117063 
0.922200, 0.115914 
0.922473, 0.115234 
0.922473, 0.115234 
0.914224, 0.107527 
0.915022, 0.104348 
0.914226, 0.106346 
0.914332, 0.106164 
0.912965, 0.102649 
0.911910, 0.112561 
0.912387, 0.128165 
0.913118, 0.127358 
0.910181, 0.121988 
